Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDM22,OUT049,787.0942579391516
FDJ03,OUT027,1215.2115343766127
FDU14,OUT018,3764.961123621424
FDB33,OUT010,384.23406825831836
FDP27,OUT046,3130.615945171714
FDO38,OUT010,175.42231839534986
FDE28,OUT027,5787.654717199201
FDO27,OUT035,1510.9930277517435
DRL23,OUT027,2570.576508941988
FDS28,OUT046,860.0108705891357
FDX24,OUT013,1454.1994699547881
FDZ02,OUT035,1521.5782757125207
FDL46,OUT045,1955.956981963547
FDS60,OUT027,5259.716630634848
NCO06,OUT017,620.8393636320906
FDO16,OUT035,1340.1767180082638
FDC60,OUT049,1349.753581280478
FDA48,OUT018,3550.76657858792
FDZ36,OUT027,4757.995207915472
FDK27,OUT045,1983.7817363290555
FDW23,OUT018,578.6588541360653
FDM14,OUT018,1573.8597990891421
FDM14,OUT013,1608.6570667334572
FDW60,OUT018,2717.011988120972
FDE21,OUT013,1989.8994274926988
NCM42,OUT035,1623.2126527533992
FDY59,OUT010,209.09775584095505
DRI49,OUT049,1297.9100947259687
FDT28,OUT019,320.2813809931215
FDQ22,OUT018,581.856646298866
FDR60,OUT049,1248.7671906764874
FDC50,OUT019,250.4715414536317
FDV24,OUT013,2504.3672954002477
DRF48,OUT010,561.3512834233608
FDQ47,OUT046,624.7733383508812
DRN36,OUT049,1536.9742435411752
NCY06,OUT035,1984.0695013594939
FDE52,OUT035,1345.989645556558
NCB54,OUT045,1966.582646493296
NCF31,OUT035,2496.2589384399807
FDJ08,OUT027,5201.944567942028
NCC07,OUT017,1630.7035781208926
NCD19,OUT027,1577.3442933319193
FDL46,OUT049,2010.4577443933272
FDM20,OUT045,3980.949554175217
NCI06,OUT010,413.24435635228525
DRM11,OUT035,4083.238772037591
NCH07,OUT018,2495.1536893796842
FDS23,OUT013,1986.1265241955089
FDO49,OUT018,704.46985922891
FDS35,OUT049,1045.991670917075
DRK39,OUT045,1332.3326934263832
DRI39,OUT049,856.2996869171084
FDV04,OUT017,2549.4412028930774
NCN14,OUT035,3084.782211943816
FDH08,OUT013,3835.1572689908335
FDS20,OUT046,3156.415378228717
FDV40,OUT049,1201.656182087754
FDZ48,OUT010,245.98919258775643
FDS24,OUT027,2419.919631687699
FDK44,OUT049,2854.4377915536274
FDS48,OUT045,2474.479782346031
FDK26,OUT010,515.0622255200229
FDD23,OUT045,3158.3186883278076
NCH54,OUT017,2636.581607522398
NCP14,OUT010,237.98886880503034
FDM60,OUT010,79.91788184931691
FDV24,OUT017,2508.552105654996
FDH08,OUT018,3583.8236136391433
FDS12,OUT027,3422.5730718835034
FDR39,OUT027,5290.534604500419
FDP12,OUT027,945.0226752728919
DRF60,OUT027,5800.955622678561
FDC09,OUT035,1609.8966649314343
FDF50,OUT018,2998.848247946616
FDG28,OUT035,3981.764142785822
NCE19,OUT017,852.9190918156777
NCM53,OUT010,278.17812582837416
NCN18,OUT049,1685.5875661428547
FDF32,OUT035,3247.4199307750455
FDF11,OUT013,3969.9347466895356
DRI59,OUT049,3786.799090880691
NCG54,OUT035,2691.631496377823
FDM44,OUT046,1586.7015159507955
FDT57,OUT018,3629.486628917672
FDV24,OUT046,2506.436340740691
FDI50,OUT019,546.6047069594163
FDS09,OUT035,742.7813305699005
NCC31,OUT027,3724.4067957394464
FDQ07,OUT019,647.4343794478319
FDC22,OUT017,3068.421185656744
FDZ56,OUT046,2662.535943857949
FDZ40,OUT019,184.91468429746482
FDS46,OUT027,3111.7669124579484
DRD24,OUT045,1994.5338012717336
FDV45,OUT017,3062.50440709666
FDL26,OUT045,2546.709165986758
FDA56,OUT018,1930.9234480820583
FDN27,OUT046,1998.1521206282373
FDM20,OUT049,4000.8353090050323
FDO16,OUT017,1339.0838973746022
FDL03,OUT035,3078.5153997467064
FDE58,OUT046,1986.0933431011122
FDI02,OUT027,3219.552181032641
NCC55,OUT019,73.75595426371369
FDR03,OUT018,3365.14656860041
FDB14,OUT017,1469.09870634344
FDR45,OUT013,3969.9347466895356
NCN07,OUT017,2015.418109060044
FDM51,OUT019,256.3209964356225
FDT52,OUT027,6032.551920131368
FDL26,OUT046,2535.1681164653764
NCZ42,OUT046,3866.6020534941817
DRI47,OUT019,364.5725818726917
FDW40,OUT013,2005.9992526847784
FDN34,OUT046,2672.9262817932454
FDS01,OUT035,2863.1277656873654
NCG55,OUT045,1968.0157594906723
FDC11,OUT035,1342.7738009517175
FDX35,OUT018,3497.4218230580254
NCB06,OUT046,2578.9424579634947
FDR09,OUT019,590.8602959081148
FDC53,OUT017,1538.544886643955
FDY45,OUT013,4122.516252654315
FDA22,OUT010,380.25344118971515
FDE02,OUT035,1502.9599482644137
FDW21,OUT045,1592.690049201122
FDV34,OUT046,1093.814202246374
FDS59,OUT049,1616.1426421715555
NCW17,OUT017,2019.6822129242296
NCK54,OUT046,2001.0868345915983
FDG17,OUT019,537.1824286811833
FDG35,OUT017,2837.149474692267
FDD08,OUT010,108.00072968523462
NCO07,OUT017,3642.5139877369056
FDJ10,OUT010,284.6393425716576
FDW36,OUT017,1621.344088334427
FDW21,OUT010,204.52782741211973
FDY19,OUT017,1988.1778024158002
DRE03,OUT013,726.6081353885926
NCC55,OUT049,625.1116944628983
FDH52,OUT010,162.56366204407834
FDO09,OUT017,4110.033089344604
FDU43,OUT045,3942.6936514450035
FDX09,OUT010,403.5923360754722
FDH40,OUT019,204.10377847955206
FDW58,OUT017,1621.344088334427
FDC47,OUT017,3656.3126424465863
NCR41,OUT035,1496.7464684728866
DRG49,OUT035,4059.508096565451
FDC52,OUT027,4065.6307276940483
FDY13,OUT046,1138.8311011512671
FDY35,OUT013,624.6076787616399
FDI35,OUT017,3095.0878790950837
NCU18,OUT049,2074.465475264695
FDY33,OUT018,2506.0161846697033
FDC15,OUT027,3446.1624393904785
FDU01,OUT049,3180.580342664175
NCU42,OUT046,2675.898336670064
NCV29,OUT018,2723.948437813624
NCY30,OUT017,3088.7358929726192
FDQ46,OUT049,1668.2926343720858
FDG58,OUT027,3679.8378595370223
FDK33,OUT017,3628.494651134298
NCD07,OUT045,1950.229774791666
NCX29,OUT027,3664.1787240181106
NCT42,OUT013,2467.077875866678
DRN59,OUT035,736.8089292665433
FDI44,OUT035,1318.3976306136997
FDA45,OUT049,2788.524677322381
FDP31,OUT045,1061.132365539585
FDY01,OUT046,1984.942146146744
FDT09,OUT018,1941.653182290374
DRH03,OUT027,2445.0116051004575
FDA36,OUT018,2979.175425724363
NCF31,OUT017,2504.372941563635
FDG14,OUT049,2494.1431735256756
FDG28,OUT027,6012.869910285261
FDU14,OUT049,4014.7303849446994
FDY47,OUT019,266.4105525111602
FDI56,OUT049,1350.2070522701772
DRD01,OUT013,854.2642250504192
FDM22,OUT046,851.282833703844
FDH33,OUT013,617.4391193299263
DRZ24,OUT013,1962.6583568297779
NCQ38,OUT046,1617.9460353069333
FDO16,OUT027,2374.163998369685
FDU07,OUT027,3726.4404567132137
NCB07,OUT013,3072.410197962008
FDU48,OUT045,1976.0809456878824
NCM43,OUT045,2608.4196045958342
FDR31,OUT010,357.92841374817925
DRK49,OUT018,584.9534883332883
NCI30,OUT010,576.4592562865553
DRD60,OUT017,3017.9353132597566
NCG19,OUT046,3634.3202745226445
FDH12,OUT035,1617.9460353069333
FDM32,OUT035,1379.7202568497544
FDM27,OUT035,2560.729506015132
NCU53,OUT027,4278.123094745104
NCQ18,OUT046,1575.9198257834294
FDS10,OUT013,2876.95434699595
FDB33,OUT027,3937.786290228703
FDI12,OUT013,1321.1320383072684
NCW42,OUT013,3694.091951833734
NCC06,OUT018,1931.56360876071
FDW02,OUT017,2010.9016202066496
NCD43,OUT017,1630.7035781208926
FDM57,OUT018,1309.953041169986
FDA58,OUT017,3707.55500522795
FDK56,OUT046,3156.415378228717
FDP52,OUT045,3828.6983004040576
FDW20,OUT018,1933.49141450046
FDS52,OUT049,1568.853751236042
NCT29,OUT018,1903.1484115088044
NCL54,OUT013,2891.1737409408042
FDC05,OUT045,3055.8293692651937
FDF34,OUT035,3081.3933216705404
FDP03,OUT027,3292.881310195866
FDD32,OUT010,178.3935148636844
FDZ10,OUT045,1993.7404982449598
FDZ40,OUT035,839.8946114995456
FDD51,OUT018,588.5365144294891
NCY30,OUT019,397.3194915382218
FDP58,OUT017,3512.333538090735
FDV49,OUT017,4152.186333392299
FDY24,OUT019,161.7972308010339
NCO55,OUT017,1621.344088334427
FDR13,OUT017,1997.4834624683804
FDS51,OUT017,935.6233689193787
FDP26,OUT045,1609.3442049284952
NCB54,OUT027,3341.337418592731
FDF32,OUT017,3086.038630179446
FDN31,OUT018,2975.145056257446
DRM48,OUT017,622.4421963168542
FDN20,OUT049,2670.786267378696
DRL01,OUT046,3918.1987652756357
FDV56,OUT049,1612.51968602302
DRH13,OUT027,2593.6786794466952
FDA03,OUT017,2493.4792247806117
FDF47,OUT027,5528.106685037235
FDX32,OUT046,2518.8967678587082
FDX57,OUT049,1523.7013831866052
NCA30,OUT045,3052.3535336625087
FDO49,OUT013,726.6081353885926
FDL04,OUT019,247.96183930344424
DRM48,OUT035,624.7733383508812
FDR16,OUT013,3497.8453684542183
NCC19,OUT018,2976.113385205016
NCE42,OUT045,3809.526527077268
FDY24,OUT017,874.5988839985642
FDH19,OUT049,2861.016998831057
FDJ46,OUT013,2811.5151880873286
FDN45,OUT010,564.2182823699148
FDY08,OUT035,2028.5066193418825
FDZ37,OUT035,1333.144764753281
NCT30,OUT045,741.1784978851372
DRY23,OUT018,584.9534883332883
NCZ30,OUT018,1927.5002296329892
FDC44,OUT018,2111.226441466421
FDB45,OUT035,1615.234719384012
FDY04,OUT013,2583.9890158540734
FDM27,OUT046,2562.319672129463
FDZ43,OUT017,3892.826184937859
FDT39,OUT019,368.9432379503997
NCC06,OUT019,289.2272484582874
FDL15,OUT027,3640.317442248942
FDL57,OUT017,4112.794628902911
FDU08,OUT046,1555.2557257204262
FDK40,OUT017,4087.9766204195867
FDQ12,OUT010,538.0445653167285
FDS48,OUT017,2492.9491506146906
FDP09,OUT045,3602.415328537927
FDW21,OUT049,1575.0133687196567
FDY25,OUT035,3029.064030604579
DRE13,OUT017,1337.4908880627431
FDV43,OUT019,101.7065478585856
FDD22,OUT045,1668.230716534726
FDM46,OUT019,283.3153029677906
NCO30,OUT010,512.6925354553107
FDM25,OUT046,2799.6796954081788
NCN41,OUT049,1997.7915613399437
FDU24,OUT045,1482.9717779745888
FDZ50,OUT046,3187.0176811688266
FDP45,OUT013,4049.137892744914
NCM54,OUT045,1969.1506129116979
FDW10,OUT019,394.4249203197685
FDP20,OUT017,2001.674786793516
FDK32,OUT046,2519.695122050707
FDN52,OUT049,1326.1133991996735
FDM58,OUT045,1676.166158519029
FDZ46,OUT027,3195.0456782695296
NCA18,OUT018,1887.740517280873
FDD35,OUT046,2019.2222059197263
NCK31,OUT035,742.7813305699005
FDI40,OUT027,2714.163708212919
FDT50,OUT019,232.90486223399535
NCT06,OUT046,2609.6165357665113
FDT31,OUT035,3068.409455858718
FDT45,OUT049,800.0240501598147
FDT13,OUT045,3070.4828336463556
FDO50,OUT045,1374.4993438984714
NCU18,OUT010,263.0376712404655
NCR54,OUT049,3171.716135194249
NCO18,OUT018,2737.480560288357
FDU09,OUT045,860.0108705891357
FDT13,OUT018,2979.017131199187
FDE09,OUT046,1676.2317937944595
NCK53,OUT019,267.26004695934006
FDG45,OUT049,3668.9638020162697
DRH15,OUT035,678.5471864514938
FDO21,OUT019,550.4001647652134
FDD14,OUT027,5302.22977588576
FDC09,OUT046,1609.8966649314343
FDH45,OUT027,958.2975834033656
FDV32,OUT046,1058.0317673882441
FDG12,OUT035,1994.898074188957
FDS32,OUT013,2009.9047196346964
NCL55,OUT018,3721.043617498237
DRE01,OUT035,4023.2674124654136
DRE15,OUT049,1249.8577862864063
NCL42,OUT045,3870.755108491759
FDP31,OUT013,1035.7685574245936
FDN33,OUT018,1441.4703228765347
FDZ59,OUT046,2588.015830692896
FDE45,OUT010,396.1707444006972
FDJ07,OUT013,1986.8419993376604
FDQ45,OUT018,2981.0683992458867
FDM33,OUT027,5518.614116009475
FDO15,OUT010,187.09191248638632
FDM46,OUT013,1459.3204680657173
FDR03,OUT045,3413.5071517476845
FDY49,OUT018,2512.3142122893464
FDQ60,OUT045,1950.4105335759982
FDW10,OUT049,2755.199389068036
FDO51,OUT049,661.337587661089
FDJ40,OUT018,1573.8597990891421
FDS20,OUT018,2983.838457826581
FDU45,OUT013,1670.9700622855532
FDV02,OUT035,2678.9821973996914
FDN09,OUT046,3949.341016587182
NCM55,OUT027,5312.780876306903
FDN23,OUT018,2438.591725075242
FDY31,OUT010,384.2613742486238
FDW03,OUT010,240.56702919659529
FDD14,OUT046,3150.263316494742
FDV23,OUT017,1992.9306039979451
DRI03,OUT045,2819.8666334639092
FDN13,OUT035,1555.886217422467
FDF45,OUT027,1762.8074458598132
FDU46,OUT035,1333.846070888726
FDB57,OUT049,3772.987896925678
FDV12,OUT049,1557.3982868242667
FDQ58,OUT013,2506.4362415083206
NCA18,OUT017,1979.3307302244157
FDH52,OUT049,919.6749798317267
FDM24,OUT018,2430.597666604971
NCP43,OUT027,5314.328317971375
NCO18,OUT019,394.3013630085197
FDM32,OUT017,1372.033304236537
NCL07,OUT017,626.7145271476619
FDK03,OUT013,3937.2377687503385
FDP59,OUT017,1615.0764487253691
FDQ24,OUT049,4060.8709264679387
FDQ16,OUT018,1573.8597990891421
FDU44,OUT013,2549.9773392722595
FDH28,OUT010,83.50450529265494
FDV28,OUT019,74.2719162177559
FDM22,OUT045,814.2775603019899
FDR56,OUT046,3139.731662302698
FDV39,OUT049,3183.1734981204536
FDU37,OUT019,214.87957687143134
FDQ11,OUT010,782.5087920784457
FDX02,OUT045,3750.343821431069
NCS42,OUT018,1445.291478319479
FDY57,OUT027,2713.115865726171
FDB21,OUT049,3824.130098660835
FDE28,OUT017,3681.25709459737
FDQ55,OUT017,1895.3108273713513
FDA48,OUT049,3660.1787145006033
FDZ19,OUT045,2813.28742618648
NCC43,OUT045,3788.939812059809
NCV18,OUT046,1354.627526589426
NCA42,OUT018,2452.2771892528126
FDY45,OUT046,4099.878850371282
NCC30,OUT045,2872.788401472501
FDM57,OUT013,1314.8751879087679
FDL09,OUT010,519.6724729163102
FDB09,OUT027,3406.49141203935
FDT44,OUT035,1974.0736048193658
NCT06,OUT027,4144.883536712811
FDX26,OUT049,3222.577024712287
FDK32,OUT013,2504.650423933828
DRA12,OUT046,2098.087580736333
FDO46,OUT010,489.9560046035946
FDE52,OUT013,1312.384009163174
NCH42,OUT045,3758.007342329793
FDV08,OUT035,636.3770369576868
FDB47,OUT018,3432.3599540131545
FDC28,OUT010,229.7334902999088
FDD22,OUT046,1978.4536458393804
FDS07,OUT027,3116.231481455827
DRI13,OUT045,3694.501529264146
FDG32,OUT018,3631.3270239056224
FDU14,OUT017,4008.9637689296064
FDD28,OUT019,173.27602718553254
NCP41,OUT017,1621.1795776540014
FDS08,OUT049,2830.715787630432
FDX47,OUT045,2532.026423407672
FDC53,OUT019,227.82570990676456
FDQ19,OUT035,3937.030664272572
FDL14,OUT045,2514.998921795445
FDM33,OUT019,581.207310406681
FDA51,OUT045,1851.2949643061538
FDZ27,OUT018,706.3754229891139
FDT04,OUT046,636.3770369576868
DRC13,OUT049,2011.9370259114648
FDR16,OUT027,5525.414866065043
FDQ03,OUT027,5713.3997995448435
FDE38,OUT035,2622.1105800165433
DRH23,OUT027,1810.0475093301825
FDT11,OUT019,532.4146660924557
FDD09,OUT035,2886.226437049456
FDR40,OUT045,1327.5177697541806
FDX07,OUT017,3088.7358929726192
FDR07,OUT035,1538.0189440216718
FDA51,OUT017,1981.3387740235266
FDT59,OUT019,557.6099794718132
FDF20,OUT017,3073.425756007206
FDR13,OUT045,1968.3825070356313
FDY26,OUT049,3699.427271276336
FDW04,OUT017,1997.6321243610375
FDK52,OUT017,3707.9433572629787
FDN60,OUT049,2573.549346820887
FDM09,OUT019,375.02991781663985
FDP46,OUT049,1326.6593637350065
FDB50,OUT019,243.86216859341255
NCQ29,OUT049,4023.3727197050152
FDP16,OUT027,6051.6578607925285
FDX33,OUT018,2500.8025180063487
FDP07,OUT010,492.2984387220918
FDN22,OUT046,3860.5682113887447
FDF39,OUT049,4188.338910964348
FDS21,OUT017,909.6524367066289
NCM42,OUT013,1622.1094288599231
FDK50,OUT019,350.5633395477676
DRF13,OUT027,3622.7685204613763
FDH35,OUT018,2541.7085814043107
FDP60,OUT018,1523.1628701202633
DRJ49,OUT027,3332.2535701698675
NCT42,OUT019,343.4450285901135
FDE38,OUT049,2615.989893146286
FDI04,OUT049,3169.6511243178593
NCH54,OUT045,2582.859220967183
FDT56,OUT049,859.7009745666501
DRD15,OUT018,3554.5769798000388
FDV58,OUT013,2999.31999434987
FDP21,OUT049,3170.691685508733
FDH05,OUT013,3716.7201058465794
FDR10,OUT027,4488.50972729953
NCP06,OUT045,2485.5143847377653
FDF33,OUT049,1615.2310019459412
DRK37,OUT013,3087.1825094240216
DRH49,OUT045,1321.8244066042587
FDT58,OUT013,2639.355245545785
FDD41,OUT018,1577.9526714291421
FDP40,OUT018,1593.3130343729706
FDM51,OUT027,2605.685210644891
FDO45,OUT010,186.30409796274705
FDW33,OUT010,233.86267460817177
FDY24,OUT045,899.8533980640813
FDB10,OUT010,544.0303761237524
FDM40,OUT035,2085.8792214579967
NCI06,OUT017,3013.9924750646446
FDW12,OUT019,277.99127851202996
FDX48,OUT027,3880.2970978075423
NCW05,OUT027,2727.411092179025
FDX27,OUT017,1502.4032752366581
DRM37,OUT045,3080.3567271384795
FDA38,OUT045,3932.632860680499
FDR36,OUT046,633.2801949232648
FDZ45,OUT046,3252.2186663727043
FDG05,OUT017,2565.3135675648223
FDK28,OUT013,4099.339693908069
FDV47,OUT045,1326.6393302764616
FDN21,OUT045,2599.544673267234
FDP20,OUT027,3464.721106340204
FDI35,OUT045,3084.5049528419754
DRY23,OUT013,617.4391193299263
FDA56,OUT017,2019.042052245578
FDB09,OUT013,1983.3262419052273
NCO26,OUT027,2998.237018090916
FDQ49,OUT018,2370.958219900946
FDI52,OUT027,3212.2047624624997
FDZ44,OUT027,3087.694090899695
FDZ09,OUT018,2539.0882601438734
FDY03,OUT049,1843.3254669032697
NCG42,OUT017,2003.0559781033537
DRI13,OUT027,5812.169299985581
FDQ32,OUT013,1984.8216546145463
FDW16,OUT035,1374.7191341820578
FDU27,OUT046,742.7813305699005
FDR28,OUT010,361.00479498138304
FDQ49,OUT010,508.4123713963745
FDS37,OUT046,1995.584154209835
FDW26,OUT018,3498.6596017506345
FDX12,OUT018,3685.345733287569
NCP06,OUT013,2480.5383667321116
FDW45,OUT010,309.1233978549271
NCN30,OUT049,1498.402437179489
FDN24,OUT049,800.0240501598147
NCL41,OUT027,971.4103160841884
FDR02,OUT019,275.4474393339286
FDD09,OUT010,499.82217363452247
FDS33,OUT010,195.65331000440602
FDU22,OUT045,1965.3253009930547
FDI53,OUT013,2587.7910122936028
DRH01,OUT049,2863.266893942739
FDX32,OUT013,2086.976810285549
NCP30,OUT018,580.2538136141028
FDB60,OUT045,3073.960124193339
FDB14,OUT049,1469.576169032594
NCP02,OUT035,865.2984440447689
FDJ10,OUT017,2011.1207074691506
FDG34,OUT046,1660.0149930258378
NCB18,OUT017,1343.127745036914
FDM16,OUT049,1125.8452981603505
FDW25,OUT018,1337.1279337158496
FDB35,OUT010,200.45195487813197
DRN11,OUT013,2096.488359495102
FDF41,OUT019,569.5665450404343
FDH16,OUT045,1347.0227263482607
NCQ50,OUT018,3344.258065713069
DRH23,OUT018,856.2681918806226
DRJ37,OUT013,2482.1630036756133
DRJ24,OUT027,5254.373307134829
FDY16,OUT035,3095.199115672725
FDQ27,OUT045,1636.9875383718809
FDZ33,OUT045,2540.9222966710427
FDF29,OUT045,1992.5297799264729
FDA08,OUT049,2588.187342368725
FDG31,OUT046,1058.5653370328882
FDE34,OUT019,453.2695240645825
NCR30,OUT027,2019.2164096613444
FDV33,OUT035,4157.640062826864
DRZ24,OUT018,1924.7640875982852
NCL54,OUT035,2841.7618699982904
FDR12,OUT049,2868.5594226183894
NCC54,OUT046,3799.6594951912925
DRN59,OUT013,724.2212674207481
FDX50,OUT019,266.287826310798
FDV31,OUT027,5252.083496573969
NCA29,OUT027,4906.860080548194
FDW60,OUT049,2912.39186816226
FDX08,OUT017,3094.7751596175412
DRD49,OUT013,3919.493656402792
FDD33,OUT046,3667.7766982158487
FDW35,OUT013,621.024652665439
FDJ36,OUT017,1621.344088334427
FDV51,OUT035,2622.5527566408036
FDW36,OUT046,1617.9460353069333
FDH35,OUT046,2639.0668275187436
NCS30,OUT027,3283.3157559151746
FDN49,OUT017,626.7145271476619
FDL08,OUT018,3653.327235509804
FDI09,OUT013,3817.99784558694
FDP19,OUT018,2107.5058342151324
FDU21,OUT010,80.31448122307035
NCP41,OUT045,1617.781524626508
FDY10,OUT013,1663.0346203012502
FDP12,OUT018,571.0186476924556
NCN26,OUT049,1998.518868173196
FDK44,OUT013,2824.1758425684834
FDC28,OUT049,1611.1381296059415
FDJ41,OUT027,5632.28873523989
NCT29,OUT035,1982.5740886501756
NCH42,OUT019,548.6629396685923
FDU60,OUT018,2534.997496698517
FDS02,OUT045,3093.445132694207
FDC51,OUT046,2016.6542395013246
FDU03,OUT013,3082.2518808110267
FDX39,OUT045,3646.5824833433785
NCY05,OUT010,105.25409017947746
NCL06,OUT027,6046.622572559041
FDD32,OUT035,1305.1154271041664
NCN41,OUT045,1967.6552002023789
NCX53,OUT049,2101.7419374752367
FDU57,OUT019,325.84903970007815
FDQ23,OUT046,1622.9505478725475
FDQ52,OUT045,3919.323960732145
FDC14,OUT045,634.7970733556176
FDY09,OUT035,2890.740776372622
FDQ28,OUT045,2550.298507048521
FDV25,OUT046,3744.8122192048827
FDJ07,OUT035,1989.3323057473451
DRB25,OUT049,1615.2310019459412
FDK52,OUT019,587.8913077149394
FDY52,OUT027,1781.4746794433834
FDB28,OUT046,3152.0987561023608
FDT36,OUT035,622.4421963168542
FDV25,OUT017,3752.1969042506125
NCN07,OUT027,3364.2010929647727
FDC57,OUT017,3068.477306394691
FDQ03,OUT018,3705.3943960486995
FDU23,OUT017,2633.7724503106465
NCX41,OUT035,3610.536314169941
NCD06,OUT035,741.1784978851372
FDW08,OUT045,1615.234719384012
NCU29,OUT017,2492.6368289588295
NCE06,OUT013,2547.272373592379
FDV52,OUT010,249.70941334514976
FDB02,OUT017,2873.085618300962
NCR18,OUT045,634.7742042729234
FDK16,OUT049,1482.0804596392388
NCQ29,OUT010,659.3524498456503
FDZ01,OUT019,223.87288815016134
FDW27,OUT035,2542.7558277980497
FDD17,OUT018,3625.7545814045216
FDW39,OUT013,2868.4306195042027
DRH59,OUT045,1084.1700289947162
FDS52,OUT013,1583.7211512149388
FDU40,OUT027,5581.543677229663
NCF54,OUT013,2822.5452816959505
FDH46,OUT045,1617.9460353069333
NCP14,OUT049,1624.5904917324071
FDH50,OUT049,3199.968759936008
DRF15,OUT010,340.98649074144333
FDV27,OUT027,2438.3957897075234
NCJ06,OUT049,2010.2734375858445
FDN02,OUT018,3288.579807840136
FDQ51,OUT049,742.8195636666576
FDQ07,OUT017,3643.8582981530217
FDS45,OUT049,1634.272505010889
NCJ06,OUT045,1982.8732184829832
FDD36,OUT035,1991.900272165747
FDY25,OUT045,3081.2928454429434
FDU52,OUT046,2515.090159631579
DRK47,OUT017,3753.8848687724535
NCL30,OUT017,1998.251568344447
FDN22,OUT035,3893.4582311862014
NCF30,OUT027,3431.4932049526515
FDK03,OUT035,4022.9039033042313
FDT45,OUT017,849.5739280370067
NCC54,OUT027,5678.559666548298
FDP08,OUT018,2990.005153952532
